"If yes, please explain ",Why are you interested in becoming an ECE Alumni Mentor?,"Please talk about your professional experiences - field of interest, previous jobs or career changes, etc. ","Tell us a little bit about yourself - personal interests, hobbies, family, etc. "
"University of Fl, 71, Taught classes Motorola, 1972-1985, NCSU Design Engineering
see my Linkedin Profile for details, Professor at ECPI, Taught EE courses at Nova University, division of NYU in Florida and at community colleges. ",Satisfaction to grow interested talent,"Motorola, IBM Microelectronics, Harris Microwave, Cree, Co Founded own company, consultant, ","Two children, 5 grand children, build my own electronic equipment, have my own EE lab, active amateur radio, continue to explore new areas of interest, active Friend of the Library. "
Mentor at IBM Research,"Give back to NC ECE, Network with existing students and professors","I am a Research Senior SWE at IBM Research Almaden. My research interests are Cloud Services, IOT, ML. More details here:https://researcher.watson.ibm.com/researcher/view.php?person=us-sasthan",I love tech blogging
Previous mentee,I’d like to give back to the ECE community at NC state!,"With the exception of a stint at a startup, i’ve been at Apple making iPods, the first Apple Watch, and multiple generations of iPhones.  I’ve shifted my interest to Cameras and imaging in the last 3 years and am an architect for future iPhone cameras.","Surfing in santa cruz, road biking, and i fly a Bonanza A36 that I co own with a few other engineers in the bay area."
I've been a mentor and mentee multiple times,Yes,Lots of experiences in Cyber Security / Security-related software development. I also used to work for the government and now work in the private sector.,"I enjoy ice hockey and running, although these days I stay busy entertaining my two young children :D"
I have mentored a hand full of interns and new grads and have had a handful of mentors as well,I appreciated the mentors I had in school so would like to give back and help current students,"Computer architecture and RTL design/verification/automation. Have worked from start to finish on multiple processor generations, worked at 2 companies, and been heavily involved in recruiting and outreach",I like to play hockey and also like hackathons and open source development
I have had mentored within the professional sorority Alpha Omega Epsilon as well as the Park Scholarships Program. I also have mentored an undergraduate Senior Design project with Bobby Compton and am currently mentoring another project with Dr. Gupta.,I had a lot of friends and professors that helped me through my classes and to start my career. I'd love to be an formal resource for another student.,My concentration was VLSI Systems. I currently help design and analyze printed circuit boards (PCBs). My career heavily involves electromagnetics and digital design. I am very passionate about technical writing.,I love reading; my genre of choice is sci-fi/fantasy. I've also just started calligraphy as well as bullet journalling!
N/A,To help out the next generation of engineers and have a positive impact.,"I specialize in manufacturing automation. I spent 7 years as a process controls engineer doing design/programming/troubleshooting for automation systems in the chemical industry. I moved to my current position at Mars to take on larger responsibilities and get involved in project management. I currently work as a project manager or as a controls lead on project teams handling all electrical/controls/factory IT scope for projects ranging from $10,000 to $50,000,000 in food manufacturing. I completed a part time MBA at the University of Illinois at Chicago a few years ago and have an interest in moving into an engineering management position in the future; I'm not in a big rush to make this transition though because I really enjoy the project work I'm doing now.","I currently live in Chicago, but actually just accepted a new position at Mars and will be relocating to the Atlanta area in the coming months. It is a senior engineering position with similar PM and automation SME responsibilities. My wife and I just welcomed a baby girl, Emma, on June 16. We enjoy spending time outdoors hiking, camping, etc. My biggest hobby is snow skiing - though I'm nowhere near as good as I should be for the amount of money and vacation time I dedicate to it!"
E-Mentor for NCSU College of Engineering,"Stay engaged with the department, advise students, give back to NC State","All of my professional experience has focused on electric power systems, specifically transmission systems analysis. I worked for ABB as a technical consultant for utilities, ISOs, independent power producers, and other entities from 2014-2020, and recently joined Pearl Street Technologies in March 2020. Pearl Street is an early-stage startup in the power grid simulation space (I was employee #6), and I've had interests in entrepreneurship since grad school where I was active in the entrepreneurial scene and tried to start a software company during my second year.

I was unable to clarify above, but I received a MS in Electrical and Computer Engineering from the University of Illinois in 2014.","I'm passionate about the arts, especially music. I play guitar, and I'm in two jazz bands and have been performing in jazz groups since high school (including the jazz band at NC State). I also enjoy going to see live music of all genres. I enjoy running and being outdoors, eating tasty food, traveling, creative writing (poems mostly), and reading. I live in Carrboro with my girlfriend, and enjoy spending time with my family (most of which are in the Greensboro, NC area)."
"My company operates in the form of mentor-mentee relationship. Thus, I have been an mentor and mentee (at time, both simultaneously) at work. My role is to train new employees (sometimes managers) for their role as a designer or an engineer and solve their technical questions.",I want to continue my association with current students of NC State,"I work with the Medium Voltage (MV) Project Engineering Team. I design control schematics and protection schemes for utilities, industrial and military location. I design MV switchgear and motor controllers. I previously worked as an Electrical Designer for the Medium Voltage team before moving to the Engineering Team.","I love reading all kinds of books. I love to explore new trails around Raleigh. During my free time when I am not doing any of those, you will find me sleeping, talking to my family in India or spending long hours on Quora :D"
"Throughout my life I have been a part of both formal and informal mentorship programs as both mentor and mentee.  Most recently at ABB, I am mentor to a handful of junior colleagues based in the US.","The education and development provided to me by NC State is invaluable, but without the connection points to the industry through the alumni network, I might have never charted my current path.  

As a student, I am thankful for the alumni I interacted with who were, and continue to be excited to share perspective and advice.  As a mentor, I hope to continue this feedback loop of support.

Additionally, as I have become a few years removed from my undergraduate experience, there is nothing more energizing/exciting than speaking to the next generation of students.  I'd be lying if I didn't admit to learning something new every chance I get to connect with students.","After graduating from NC State, I joined ABB's US rotational development program, where breadth of exposure and fast transitions were to build my internal network and understanding of how such a large international business operates successfully.  My assignments were focused on government affairs, technical sales, and engineering.  After completing the program, I joined ABB's US Business Development team, supporting regional strategy and merger & acquisition activities.  

Since last year, I've taken a global strategy role, as Chief of staff to the President for ABB's Electrification Business Area based at ABB HQ in Zurich Switzerland.  As an advisor to the business leadership team, I contribute to aligning our focus and identifying growth opportunities for our $13 billion business focused in low and medium voltage electrification and building control solutions.

Though these roles have not always been the most technical in nature, I couldn't do what I do at ABB without a strong background in electrical engineering.  It is impossible to manage a business without a strong understanding of how we support our customers.  As such, a large number of our business leadership have strong technical backgrounds.","Outside of work, I like to spend time outside as much as possible.  You'll see me outside hiking, playing tennis, or simply enjoying good weather.

When I get the chance, I love tuning into NC State football or basketball games, but lately I find that to be more frustrating than exciting."
"I have been both a formal and informal mentor at Accenture, Bank of America and KPMG LLP.  In addition, I have been a mentor to several others who I have met over the years.","As my career has progressed, I've found mentors very helpful to be able to speak with and discuss ideas and challenges.  I'm happy to be able to play that role for others, especially those from NCSU.","I have been a consultant for the majority of my career.  In that career, I've been challenged by working in various industries, with various clients, solving various business problems.  I've also spent part of my career working directly in the financial services industry focused on cost reduction, process improvement and overall simplification.  For more, please feel free to see my Linked In page at LinkedIn.com/in/jimodell3.","I've been married to my wife, also an NCSU ECE graduate, for 23 years.  We have three wonderful daughters, two in high school and one in middle school.  During normal years, we enjoy traveling and spending time with family and friends.  I am also an avid golfer and enjoy spending time outdoors."
N/A ,I am interested to help out and also I feel that this would be a good experience to learn together !,"I am an experienced Software Developer with about 3.5 years of experience. I have worked as a Software developer in Dell R&D for a couple of years before master's degree. I have worked as a full-time intern, co-op intern, and currently as a full-time software/systems engineer at HPE in RTP. My interests lie in the Software development process, OS concepts, Linux applications, Cloud, Containers, and Networking stack. I would say that I am an expert but I would love to learn along and brush my memory about some topics as and when needed. More about me can be found at - https://www.linkedin.com/in/ramyavijayakumarncsu/.","I am an international student (or I was while I was still studying) and my family stays back in my home country. My top trait is being a learner which pretty much speaks for itself. So I love exploring new things, be it novels, movies, cooking, baking, going out with friends and making new friends too! I am an art enthusiast and love to paint. I like talking to people and sharing experiences and like volunteering activities."
I have mentored numerous individuals throughout my professional career.  ,Draw from from my experiences to help students prepare for their professional careers.  ,"My hobbies include traveling, bicycling, weight lifting, and hiking.  My wife, Sherry, is also retired, and she had a very successful career as an engineer and business manager.  We have one son who is an Emergency Medicine Physician in Pittsburgh.  We spend our winters in Indian Harbour Beach, Florida, and our summers in Incline Village (Lake Tahoe), Nevada.    ",
"Yes, I was a mentee when I was in high school!  One of my neighbors worked for IBM and he taught me how to write devices drivers for the original IBM PC in Assembly Language.",I would like to give back to the University that has given me so many opportunities!,"I started off in Software Engineering and over time migrated to management, consulting, and architecture.  I've created new companies and worked for start-ups, non-profits, big-five consulting, and the Federal Government (Deputy CIO for the Small Business Administration).   For the last 15 years, I've been the owner of a small consulting firm.","I live just outside of Washington, D.C.  I have two sons 14 and 18.  I enjoy working with and building electronics and continuing my life-long educational journey in IT. I like to be outdoors and before the pandemic I would routinely travel out west for camping and skiing trips."
"I am a founder / partner at IIA Ventures (Investor India Alliance). We work with startups operational in India (Tech / Non-Tech). We guide them on various aspects related to starting up (Strategy / Planning, Financial Model / Pitch Deck, GTM Strategies etc.) & help them raise funds. ",I would love to work with under-graduate / graduate students who have entrepreneurial aspirations. IIA predominantly works with startups in India & I would love to be involved with students who have plans to create something that will be relevant for the developing world. ,"After graduating from NC State, I joined Cisco Systems as a Software Development Engineer. After staying in US for about 10 years, I returned to my home-country (India) and joined Cisco in Sales Strategy / Planning team. While part of the strategy team at Cisco, I moonlighted as founder / investor in a couple of startups and then eventually went on to start IIA Ventures about a year back. ","I currently stay in India with my family (Wife & 14 year old son). I follow advances in Agri-Tech and innovations that have the potential to uplift the underprivileged. If life had other plans for me, I would have taken a keen interest in politics & public policy. "
NA,Yes,"I’m an RTL Designer by profession, but my interests stretch to Computer Architecture, ASIC verification, Physical Design, Performance and Power modeling. Prior to my masters at NC State University, I worked for 2 years and FPGA RTL Design Engineer in India. Currently, I work on AR/VR technologies. Prior to this, I have worked on CPU/GPUs. On a broader note, I’m happy to discuss anything tech related :)","Love soccer (Arsenal FC fan big time). Like to stay fit through a range of outdoor activities and sports. Indian citizen, foodie and 9/10 times you will find me checking out tech at Best Buy. "
