"If yes, please explain ",Why are you interested in becoming an ECE Alumni Mentor?,"Please talk about your professional experiences - field of interest, previous jobs or career changes, etc. ","Tell us a little bit about yourself - personal interests, hobbies, family, etc. "
"I spent 6 years being mentored by the VP of Operations at a traditionally Oil and Gas substation company, Dashiell. After this experience, I had the skills necessary to open an office for a renewable energy company (then Swinerton Renewable Energy) in downtown Raleigh. After 7 years with now SOLV Energy, we have grown to be the #1 EPC (Engineering Procurement and Construction) utility scale solar contractor in the US with the largest O&M (Operation and Maintenance) portfolio of any non OEM (original equipment manufacturer).I have had the opportunity to mentor many new grads as well as more senior members of the organization over the past 7 years with the company. I would like to expand this to the next generation of renewable energy leaders from my alma matter.",I want to give back to the community that raised me.,"I worked my way through school at ABB on Centennial campus. I was exposed to many different aspects of what would ultimately become my career, Transmission and Distribution substations. I worked on physical design, protection and control design, and even tried my hand at programming within the US Corporate Research Center for ABB.  Learning of the generational gap that existed ( and still does to this day) in the power industry, I realized that it would make a fulfilling and stable career. Post graduation, I went from ABB to Dashiell to help start up a new division office for the Houston based, traditionally oil and gas company. At the Cary office of Dashiell we began to pursue renewable interconnection projects and built the first CAISO interconnected solar project in 2009, a whopping 5MW project! We went on to interconnect over 500MW of projects during my tenure at Dashiell (and they have continued to grow since my departure). Renewables became a major aspect of a traditionally oil and gas company and that excited me for the future. I made the move from Dashiell to Swinerton Renewable Energy (now SOLV Energy) in 2014 when I opened an office in downtown Raleigh. Three of the first 4 employees were classmates of mine in Electrical Engineering at NCSU. Since joining SOLV Energy, we have grown to be the #1 EPC and O&M provider for utility scale solar projects in the US. Our group has now interconnected over 6GW of solar projects and manages nearly 7GW of solar projects from our 24/7 Operation and Control Center at our headquarters in San Diego, CA.","I was born and raised in Rockingham County, North Carolina, on the border with Virginia. I came to Raleigh for school and didn't leave it for 18 years. I still spend a lot of time in downtown managing operations from our office on Hargett St. During the pandemic, I made the move to Denver, CO to be close to my wife and cut down on the amount of time I spend in airports. I enjoy biking, hiking, kayaking, and my newest hobby of Jeeping in the great outdoors. I am passionate about making a positive impact to our environment and weaning the US off fossil fuel based diet to prepare us for the future. My wife is also in renewable energy, from the residential side, she is the EVP of Policy and Government Affairs at Sunova. You could call us a Solar Power Couple! "
I have spoken at high school career fairs and am a Stephen Minister (listening training).,I want to help students get a sense of the things their education can prepare them for.,"Main career was in electric power system distribution engineering for a public utility. Now I work in a private consulting engineering firm that does commercial, industrial, water, and wastewater plant designs. This involves power delivery, renovations and new designs, Arc flash and power quality studies.",I love working with home repair in Appalachian Mountains (Appalachia Service Project) and developing relationships with the families we serve. I deliver food to a food pantry from the Second Harvest Food Bank 16 times a year.
Mentored at work by a coworker in Belgium. Mentoring 2 co-ops at work (life/work). Technical mentor at work to new hires.,I would like to become more involved with our program and enjoy talking about the experiences I have had from ECE into software,"2 co-op rotations with Oracle, was hired full time as a Cloud Software Engineer. Lots of focus on development in a cloud environment with emphasis on shared cloud native platforms and automated deployments of software. Have gone through 2 major organization changes/team changes since starting 3 years ago and are working on a very different environment than I previously was.

Also did an internship in a completely unrelated company Extron with focus on dev-ops.","Love theatre. Actively involved with Raleigh Little Theatre (onstage and backstage). Was involved greatly with NC University Theatre. 

Also occasionally do recreational swimming. 
Play some video games (minecraft is always fun) and watching movies (Marvel, some anime)"
N/A,"I see this as a way to give back and help current students interested in the energy sector, especially the energy transition. ","I've worked for 10+ years in the energy industry. 
I started in a rotation program with Siemens. My first permanent job was as a protection engineer for electric substations. My next job was project engineer for FACTS project (STATCOM and Syncon).","I enjoy running, playing board games, rocking climbing, and travelling. 
I'm married with a 3 month old daughter. "
"When working at Siemens, I was in charge of the co-ops we hired from NC State. This included attending career fairs, interviewing co-ops, and mentoring them throughout their rotations with us. I held this position for three years. ",I am looking to expand my network of engineers in this field. ,"I am a PE in the state of North Carolina. I have previously worked for Siemens and Schweitzer Engineering Labs (SEL). 

I joined Siemens as a co-op student while at NC State. I completed four rotations with them as a protection & control designer and then a substation designer. I was later hired on full-time as a substation designer. Throughout my 3 years there, I progressed from the designer to a project engineer and then to a project manager. I managed budget and schedule for multi-million dollar projects spanning a variety of FACTS and HVDC designs. They were full turnkey scopes including engineering, procurement and construction. 

I then joined SEL as an Application Engineer. I designed, programmed, and tested protection relays. I taught at SEL University where I educated customers on topics such as communication-based protection schemes, SEL's relay portfolio and basic three-phase power fundamentals. 

I now work at Pike Engineering as a Engineer III. We provide design and construction services to Duke Energy for the purpose of grid hardening. A majority of the work is at the distribution level and mainly in downtown Raleigh. It involves calculating, designing, and routing power supply to the multitude of new construction sites that are popping up around the city.","I am currently pursuing my Masters in Electrical Engineering (MS-EPSE) at NC State and will be graduating in December 2021. 

Outside of school, I enjoy playing sports, hiking, and traveling. I was on a dance team while at NC State and was also the Club Cricket team captain. Although its not as frequent, I try to play cricket and dance every now and then. My family has been in NC for the past 10 years and this has now become our home. Since then, my extended family has also moved here. My little cousins are now students at NC State, UNC-Charlotte, and Wake Tech. "
,"Two reasons:
1.  To give back. I have much to share about Enterprise Software Product Management & Leadership, and
2.  To expand the West Coast NCSU ECE alumni base working in Tech","- Management Consulting & Strategy (McKinsey) 2003 - 2007
- Enterprise Software Product Leadership & Portfolio Management 2007 - 2021, including twice being the Chief Product Officer, once a Chief Marketing Officer and running 150+ persoly distributed enginnering teams","I love working with talented, interesting & dynamic people to get things done.  For the last ~15 years, that's meant delivering great software customers love ❤!

A product strategist at heart, I've used data-driven, structured problem solving to deliver growth and successfully manage product portfolios across all 4 stages of the S-curve, and at both large-cap and venture-backed tech companies, most recently culminating in a $1.15B exit.

I'm curious, which has led to firsthand experience with a wide range of domains, including: Security, Data Loss Prevention (DLP), Encryption, Storage Management & Availability, Governance Risk Management & Compliance (GRC), Identity & Access Management (IAM), Public Key Infrastructure (PKI), and the Internet of Things (IoT)."
Coop program ,To give back and help students ,See my linkedin,"Y-Guides , family"
,"Would love to interact with upcoming NCSU grads and help them answer questions in their academic and professional life, for similar issues which I also faced challenges in during my time at NC State.",Have 2.5 years of Experience in Physical Design domain. Have been working with MSFT for last 8 months and previously worked for Intel for 2 years in India.,"Love the outdoors, cooking, like to meet new people and gather new perspectives."
I've mentored two ECE students.,Yes,Please see my previous form.  From what I recall it was excellent!  :),Please see my previous form.  From what I recall it was excellent!  :)
"Yes, I've mentored undergrad and grad students, have participated in PhD committees, and mentor periodically in the tech industry ",Yes,"I worked for 10 year on numerical electromagnetics research associated with NC State (we're I got my PhD) and later with the University of Utah as a postdoc and Research Assistant Professor before transitioning to industry. In academia I worked in large projects with several National Labs and with NASA, including EM safety, biomedical applications, like retinal prosthesis and cancer ablation, and space suit design. I transitioned to industry about 10 years ago, working at Mathworks on their Matlab and Simulink products, and later moved to Microsoft, were I joined the Xbox team followed by Azure Security, Azure Compute, and Azure Storage as a Principal Architect for Big Data network file systems. My current role is at Google, were I lead multiple teams working on advanced secure multi-cloud infrastructure. In addition of the above, some of the topics I can help with are: Software, cloud, making it to FAANG companies, startups (I've founded 4 companies), CS and EE research, choosing between academia and industry, compensation negotiation, transitioning to new opportunities, choosing individual contributor vs management tracks, long term career planning.","I am a1st generation immigrant and live with my wife and young daughter in Irvine, CA. I have lived before in 7 other states in the US, including NC. I like to play with my daugter, our mornings mostly revolve around Ninjago dragons and dinosaurs at the moment, and I enjoy jogging every morning and going to swim every so often. My hobbies revolve around computers, mostly programming for fun, and sometimes sitting and  meditating."
,I want to be able to share my experience and advice to others. ,"2 years in electrical system verification for Volvo Trucks. This position has included slight software knowledge, troubleshooting systems, creating wiring harnesses, observing signals and understanding how the system communicates with itself

I am currently starting the transition to systems engineering","Family and friends are important to me! I like to spend my free time with them. I like to try to socialize as much as possible but also enjoy my down time - usually reading or just sitting outside. I enjoy being outdoors - hiking, walking, sitting and observing. I like to visit new places as much as I can! "
,,,
Yes. I mentored students at Northeastern University,I love NC State and would like to support students in a way that I didnt,Renewable energy and Grid modernization,From India. In the US for 6 years. Bachelors- Masters - Employment. Family in India. I love playing basketball and want to modernize the electrical grid to completely renewable energy
"Yes, I had enrolled in this program last year as a mentor and I had regular meetings with a mentee. It was a good learning experience for myself and my mentee ","NC State University provided with me with the right platform and guidance to grow my skills during my Master program. I want to do the same through these volunteering programs for aspiring students. Also, I want to share my experience of navigating the job search and choosing the right career path which could be helpful to current students as well as be a learning experience for me about the latest events in current job market","My current job at Microsoft is my first professional experience. I'm working in the Firmware engineering field between hardware/software layer, particularly in BIOS/UEFI in Microsoft Azure server systems. My job uses my coding skills and knowledge I gained from my master's course like Operating Systems, Embedded System and Microprocessor Architecture, Compilers Optimization and Scheduling. ","In my free time, I read books and am a casual gamer. I love trying new foods every weekend. I enjoy swimming and swim wherever I can in lakes/pools and I'm planning on joining a swimming club to go for daily swims. "
"Mentor during my graduate time to undergrad lab researchers, mentor during my TA time",Giving back!,"Electrical engineer for 2 years at Device Solutions in RTP, returned to grad school to focus on medical devices and a medical engineering career path","Love hiking, kayaking, all things outdoors, traveling, baseball!"
"I've been a mentee during all of my jobs so far. My first mentor in civil engineering helped me discover that I didn't like working in civil engineering and to appreciate the monolith of government regulations in buildings and medical fields. When I first moved into college, I met my second professional mentor, an old friend from high school who was the news editor at the NC State technician. He encouraged me to try journalism and helped me interview all sorts of people, writing about critical issues like the 2016 election, housing inequality at NC State, tuition and fees at NC State, and racial/accessibility issues on campus in 2016 and 2017. He made me feel important in the news room and made excellent software systems for reading in news ideas. After the newspaper, I was a mentee at my summer internship at Plexus corp. My mentor was an entry-level software engineer that had recently joined the company. He helped give me excellent feedback on my project ideas and helped guide me toward literature to help me learn more about production-scale software development philosophies. I still have a mentor from Plexus who lives in Colorado who was the senior engineer and SCRUM master for the robotic surgeon testing suite I developed there. He gives me career opportunities when he finds them, gives me feedback on my work in Raleigh, and we enjoy playing board games together. 

At NC State, my coursework and research led to at least a dozen mentee opportunities (I cannot write about them all): I was first a mentee in ECE 200 and ECE 309, the car class under my TAs John and Brody. Brody gave me excellent feedback on my programming approach and helped guide me toward becoming an intern at Plexus. He also helped explain the intricacies of FDA clearance and approval so that I could be a better intern there. John helped me appreciate my problem solving fluency in mathematics and to pursue higher-level mathematics in control theory and analysis at NC State. I really enjoyed talking through physics problems with him. I was an entrepreneurial mentor and mentee in the NC State entrepreneurship program, receiving project advice on a robotic stove knob from Marshall Brain II. Marshall gave my team good feedback on the practicality of our inventions and helped connect us to manufacturing methods and design concerns, even when we felt completely lost. In my research, I was mentored by Dr. Bitzer, the inventor of the plasma screen. He shared his love for intuitive problem solving with me and helped me feel appreciated and confident working with extremely complex patents and unused software, even when I didn't know the way forward and needed room to grow. Lastly, I was mentored by Dr. Kolbas at NC State during his ECE 303 class and afterward when I made a make-a-thon event for my department. Dr. Kolbas directed my passion for helping other students learn invention skills and helped me to become more humble and curious around simple physics problems. I remember him telling me that it didn't matter what math I would need to learn in the future if I weren't curious now about simple things, like ice, clouds, arcs, and real-world discrepancies compared to my models.

I've been a mentor to college students in two different ways: as a TA in ECE 200, and as the creator of a one-time make-a-thon for engineering students. I was a TA on 3 separate occasions in my 3.5 undergrad years at NC State, and my philosophy was that student names and listening were far more important than solely delivering course content. From our first classes, I made an effort to greet every single student and to ensure that they knew they could talk to me about anything. Some students needed help navigating the ECE program's career outcomes and internships while others needed help understanding mathematical concepts. I hope that in my time talking with them, I was able to help them become more successful and to contribute to positive engineering outcomes -- some of them still run into me at the grocery store, and some of them have been published by NC State's engineering magazine for their inventions. In my make-a-thon, I was mentored by Elizabeth in the ECE undergrad office. She helped me understand how to organize my project to be successful and helped me understand my aversions to deadlines and feedback better. She helped me become more vulnerable and to host 3 electrical engineering projects and a contest day for other students using funds from Dr. Kolbas. I mentored 3 project groups since I was unable to find any willing ECE student mentors: I worked with the groups to develop their social media presence, development process, and to feel comfortable with failure when some of their inventions were more difficult or complicated than planned.

Lastly, I've been a mentor to younger children in four ways: a tutoring program, a literacy program, a soldering skills program, and as a member of the radio club at NC State. I was a tutor to Sudanese immigrants in Greensboro, NC for 6 years while I was in middle and high school. I helped provide them with free after-school math tutoring and out-loud reading -- the reading part being especially difficult. In high school, I was a mentor in a program called Brooks Buddies where I worked with a child for 4 years weekly on Tuesdays or Thursdays -- I'd listen and learn from him talking about life and his family, teach him about my experiences, and read books with him or talk about books that we were reading to help him develop his literacy skills and love for reading. I was a mentor in Girls Engineering Change to elementary, middle, and high school girls. I discussed careers in electrical engineering with them, drew simplified circuit diagrams with them, and made them feel comfortable working with electronics and soldering. When I was in the radio club, I helped host a Boy Scout radio merit badge day where I taught antenna physics and radio uses to troops around the triangle area. I got to use my homemade yogi antenna with them and to demystify electrodynamics for a young audience. ","I'm interested in helping make a community of mentorship for ECE students so that they feel less alone and more supported in this job market. It's really difficult starting out in a remote job for me, and I think that connecting with students will give them the skills and support they need to make amazing contributions in whatever they do.","My fields of interest are analysis, statistics, machine learning, control theory, electrodynamics, circuit design, sensing, embedded software, networking, and advanced computing. My main interest is improving the utility of existing technology and helping technology adapt to environmental and medical applications. 

I'm currently an embedded engineer for Signalscape, Inc. developing our Android software portfolio. I created a training site for new engineers, our first successful Android application, and am working on a release for our next Android application next year. I've also integrated a cellphone protocol into an existing embedded device so that it could make phone calls. My favorite part of this job has been hosting a weekly coffee club where I organize a team of barista-engineers to showcase locally roasted single-origin coffees. I'm also a member of the company social committee where I've organized a high-ropes outing, a company dinner, an indoor put-put, a St. Patricks Day trivia, and other events during the pandemic.

I've been an embedded engineer for 2 years for Plexus (Raleigh) on a robotic surgeon prototype to compete with the DaVinci robot. I made a testing suite for it that formed a network between a hardware prototype, an electrical stimulator, and a Windows computer. 

Before I was an embedded engineer, I was a journalist for 2 years at the NC State technician and a bioinformatics research assistant at NC State's department of computer science. I managed months-long investigations into issues of equity, diversity, and accessibility and interviewed almost everyone in campus administration at least once. I was a private tutor in ECE subjects as well during this time as well as an ECE TA for 3 semesters.","I play piano almost daily, Rachmaninoff, Scriabin, religious music, and Debussy are current interests. I perform in worship services and at public pianos when I can find them, and in the next year, I may join a local group to perform with. I've played for 16 years now. I also play guitar and trombone but haven't performed with them since the pandemic.

I love to ride my bike and run around the Kentwood neighborhood and the Raleigh Greenway. I also do indoor FTP training when the weather is bad. I do calisthenics, hiking, walking, and backpacking as well.

I'm a big board game nerd: I host a board game night with my friends weekly and really enjoy complex, thematic strategy games like Spirit Island and nuanced classic card games like karma and canasta.

I love traveling to historical and natural areas. During the first months of the pandemic, I explored all of the county parks in Wake County. My recent trips include the Joyce Kilmer memorial forest, the Grayson Highlands, Fort Fisher, and Monticello.

Sometimes, when I find a new codebase, I may open it up and modify it. I recently discovered an abandoned Android application that selectively disables a pixel array on the AMOLED screen on my Google Pixel phone.  "
done mentoring through PENC,I would love to be able to pass along my experience and advice on to college students. ,I've been an electrical engineer since I graduated. I do consulting work in commericial construction. ,"For fun, I love all things Wolfpack, spend time cooking, fishing, hunting, and with my dogs"
I TA’d ECE 306 and 309 as well as worked as a tutor during both undergrad and grad school.,I would like to stay connected to the University/department and it’s students. I also like giving back like people gave back to me when I was a student.,"My masters specialization was in embedded systems, so I have a pretty good knowledge of that area. However, my current job is almost a purely software role working with device communication both locally and over the internet. I’m still in the job I got out of school.","Big sports fan, love playing golf, Big nc state sports fan, only child, first person in my family to go to and finish graduate school"
,"I was an RA for a couple years at State and I enjoyed being able to share my experience with my residents. I've had a few residents who were engineering majors (including a year with the Engineering Village in 2019-2020 that was cut short) and it was rewarding to help guide them through being an EFY. Beyond that, I feel that being a recent dual degree graduate I can provide a fresh perspective on the struggles of the ECE program and getting through the course work.","I have started working at Cisco as an entry level Software Engineer since graduating in May 2022. I am currently working remotely in Raleigh with a team developing network interfaces and features in the new 8000 series of routers that Cisco will be coming out with. Mainly my work so far has been fixing low level bugs, developing unit tests, running interface tests on simulators and hardware, and triage for internally reported bugs.","Since 2013, I’ve been a big lacrosse fan but I haven’t played since 2018 besides a couple men’s league games. When I get the chance, I keep up with the sport at all levels; international, box lacrosse, college, and professional. It was my first passion and I still intend to play and coach in the future!
While I was at State, I was active with the Filipino American Student Association and am currently in a similar group at Cisco. I hope to continue supporting Asian and Filipino orgs in the RTP while I’m living here.
My other interests are cooking, small form factor (ITX) PC’s, sports, and Smash Ultimate. Since graduating, my girlfriend and I have had more time to try new recipes and so far my favorite has been a baked chicken katsu! I just think ITX computers being able to pack strong computing power in a small footprint is a neat thing. I try to keep up with other sports news, and I play Smash Ultimate casually in my spare time (although I’m not particularly good).
I hope I’ll be able to participate in this mentor program as a valuable resource for ECE students through this tough degree!
"
Served as a mentor for mentoring students at my alumni institutions. ,"I love to guide students and make them aware of things that I wished someone had told me at the beginning itself. Furthermore, I also get to lear a lot from the experiences of the mentees. ","I recently finished my PhD with a focus on optimization and machine learning for electric power systems. Previously, I have participated in co-op and internship programs that have given me experience working in industrial environment. ","My interests include traveling, exploring new area of the city I live in, health/fitness, and aero plane spotting. "
I was mentored by an ECE alumni working in Cisco. She doesn't work in my area of interest so she could help only to a limit. ,I think there were not much Machine learning/Computer Vision mentor when I was mentee. I would like to help students in the field and get their foot through the door. ,I am in Computer vision field working at SAS. I am interested in NLP as well. Before masters I had worked as controls engineer and changed my career path after masters. ,"I am from India, I love hiking/gardening and cooking. "
I was mentored by an ECE alumni working in Cisco. She doesn't work in my area of interest so she could help only to a limit. ,I think there were not much Machine learning/Computer Vision mentor when I was mentee. I would like to help students in the field and get their foot through the door. ,I am in Computer vision field working at SAS. I am interested in NLP as well. Before masters I had worked as controls engineer and changed my career path after masters. ,"I am from India, I love hiking/gardening and cooking. "
Over 8 years exp in management and mentor to many engineers at different levels.,I enjoy giving back and helping to enable future generations. I've also done a lot of recruiting over my years in industry and always learn a lot by talking to college students and understanding their perspectives and concerns.,Focused on silicon design with a specialization in interconnect fabrics for SoCs. I have worked for FPGA design companies and ASIC design and have worked on mobile SoCs and server SoCs.,"I enjoy woodworking, trying new restaurants, and gardening/landscaping. I also have 3 kids ages 2, 10, and 12. My wife is actually a professor at NCSU in the College of Textiles."
I have mentored interns and junior members  in my team,To give back to society and help upcoming students to navigate the choice in chip design,"i worked in chip design - physical design for 8 years, now working on power optimization","i like running, playing badminton . I like watching to go for hikes with my wife and dog."
,,,
I was a mentee,"When I was approaching graduation, I was so full of nerves. If I could provide any insight into the transition from academia into the workforce, I would love to help however I can. I would especially love to help any rising women in STEM who are looking for insight into working in a male dominate workplace. ","I previously worked at Analog Devices as a Product Quality Engineer in Greensboro on transceiver products, currently I work as a test engineer on wifi products. I’ve always been interested in radios! I am looking to stay in the semiconductor business. ","I love to make. I’ve taught myself lots of small crafting skills like how to carve lino blocks, how to sew, how to paint, and lots of other little skills like that. At college, I loved skateboarding as well. I love being outside and hiking as well!"
"My current role includes advising and mentoring approximately 30 students, and the Navy regularly uses a mentor/mentee system for aiding in success",I want to be able to help out students interested in a career in the military. I want them to have opportunities to talk to someone who is not their recruiter or ROTC unit officer so that they can get some outside perspective and to learn from my experiences.,"I have managed divisions ranging in size from 15 to 35 personnel in shipboard operations and in an engineering laboratory environment. While my undergraduate studies were in electrical engineering (primarily in control systems and communications), most of my engineering experience up to now was in chemistry and radiological controls. My next role will be in space operations and acquisitions, so it is a shift away from nuclear power and moving back to more electrical engineering application. I am currently teaching two 300-level technical courses at U of Idaho.","I love everything outdoors - hunting, fishing, hiking, camping (sometimes tent, sometimes glamping). I also love drone videography and videogames (RPGs and slow-paced RTS). I am married to a fellow NCSU ECE alumnus, and she is the mother of my three daughters. We spend many of our weekends exploring the PNW with our Airstream and dogs in tow. "
 ,Give back and influence next gen Engineers,"Networking, Cloud, Cybersecurity","Technology, Innovation, Three Children, one in NCSU Engineering (BME), Soccer,  Hiking, Cycling
"
I periodically mentor interns at my current company.,I am at the point in my career and life that I've built experience and knowledge that I think I think would benefit those starting off their career.,"After graduating NC State - I started at IBM as a software engineer.  I was involved in a variety of organizations there - from building on prem software to cloud development.  I left IBM after 16 years to join Tanium - one of the highest funded privately funded cyber-security companies in the world.   I now serve as a principle engineer there - focusing on product development, devops, technical leadership, etc.  So my career path led me down the software engineering route over electrical.","I am married with 2 amazing boys (11,13).  Both are heavily involved in soccer - training 4-5 days a week so a lot of my personal time is spent going to their trainings and traveling over weekends to their games.  Aside from that - I still take interest in expanding my tech knowledge - reading articles and coding on the side.  I would say my job is my hoppy and the position I am in allows for a lot of flexibility to explore and drive innovation."
I was part of this program in 2021 where I learned a lot about my field of study through my mentor. He introduced me to industry applications of various technologies that he was working on and gave me a broader understanding of life as an engineer ,I want to help students grow in their career by providing them with whatever resources I can to help them succeed ,RF and Wireless Communications ,Dancing & reading 
"I mentored 2 ECE Senior Design teams, the Wolfpack Solar Car (SolarPack) Team, and ran the FREEDM Systems Center REU (Research Experience for Undergraduates) Program for 3 years.","Some parts of the engineering curriculum are challenging to navigate, especially looking toward careers and post-grad opportunities. I think mentors are very helpful for that, and I believe that I have a fair amount of insight to give and am an empathetic listener.","While finishing my Ph.D. at NCSU, I founded a startup company called ""Water Bros Desalination, LLC."" to research, design, fabricate, and test a wave-powered reverse osmosis system for disaster relief and islanded coastal communities in response to the Department of Energy ""Waves to Water"" Prize.  My team came in 2nd place over the three years of that program and is currently pursuing next-level funding to continue to grow the system. In addition to my startup, I recently started a new job as a Senior R&D Engineer for C-Power (Columbia Power Technologies), designing power plants for stand-alone and grid-connected ocean wave energy converters for electric power generation.","I am an avid traveler, I have been to 26 countries and lived in Europe for a summer while interning at ABB Corporate Research in Switzerland. I lived in a van for a year, while traveling North America, and my German Shepherd Dog has been to all contiguous 48 states, plus Canada and Mexico. I am a rescue scuba diver, have backpacked over 1,000 miles in the past 6 years, and absolutely love to cook!"
,"After I started pursuing my MS in ECE, I came across different kind of hurdles like summer internship and full time job hunt, how to network across LinkedIn and ask for referrals, how to crack the interviews and amidst all these, how to cope up with the subjects and projects/assignment deadlines. I believe now that I can guide the students in correct direction, as I have seen frequently people losing hope and feeling bad once they get a reject or negative feedback. I have been through the same boat, but all this experience culminated towards me fetching multiple offers and choosing the best one out of all.","My field of interest is ASIC Design and Verification. I did my summer internship at Qualcomm, Santa Clara with 5G WiFi Module team as Design Verification intern. Currently, I will be joining Google Pixel team as ASIC Verification Engineer.","Few of favourite things to do are: Hitting the gym, cooking (trying out new recepies), reading books (I am a big fan of Fiction and Sci-Fi), watching movies, playing Football and Cricket. I used to represent my State in cricket back in India. Also, for self growth and developement, I recently started coding practice on a daily basis, it helps to build logic and mental ability which helps in every aspect."
I am a mentor in a program affiliated with IEEE-HKN (Eta Kappa Nu),I am interested in helping current undergraduate and graduate students achieve their goals and in sharing my experiences with them.,"My research specialty lies at the intersection of power system optimization, renewable energy, control theory, and industrial engineering.  I am in a teaching-focused academic position, focused on undergraduate ECE education and also pedagogical research. ","I live about an hour outside Chicago in Northwest Indiana with my husband and two dogs.  Outside of work, I enjoy running, yoga, cooking/baking, being outside, going to the beach, good coffee, and all things Disney."
Mentored innovation; Mentored in a 'Pay it forward' program at Intel; mentor engineers in current role,Want to give back some of what I have learned. Also energizing to mentor and learn from mentee.,"https://www.linkedin.com/in/nitasharma/; Technical leadership, machine learning, data analytics, cloud","Gardening, nature. Have 2 grown kids , husband and 2 rescue dogs"
,Would be nice to give back to the community and help students realise their ambitions in this challenging times of vlsi industry.,Have been working in gpu dv since 2 years and have worked on firmware development prior to this role for 2 years.,"Biking, Gym, Reading, writing, traveling."
,"When I was doing my Undergrad, I was constantly looking for some guidance and mentors who can help me building a career in VLSI domain. The ratio of available mentors to number of students seeking guidance was low and is just getting better now. I would understand their concerns in more relatable way and guide them accordingly.",I worked as ASIC Verification Engineer at nVIDIA for their DFT IPs and Interned at Apple Dram Controller Verification team.,"Travel, Movies and Sports."
,Just wanted to give back something to the ECE dept.,"RF/mmWave IC Design, general trends in industry, PhD students career planning, international students mentoring 
2 years of previous experience in National Instruments India","Technology enthusiast , Science Fiction and Fantasy, Trivia "
I have mentored 2 students from my bachelor's institute. Both are in the industry now.,I had no idea about the industry when I was studying. It would have be very helpful to have some information from the industry people while choosing the type of domain and position. I would be happy to guide the students and answer any questions that they have about the industry. ,"Worked on memory circuit and layout design in India for 3 years before MS. Interned at Micron technology for 3 months during MS and later worked as a full-time employee there for about 8 months in 3D NAND design validation. Now, working at AMD from 3 years on GPU Design Verification. So, a total experience of more than 6 years in the VLSI industry with exposure to different type of domains.","I am from India, my parents and elder brother are in India. I got married last year and currently in US with wife. I like hiking and visiting peaceful lakes. I am interested in psychology, cricket, and public transportation."
I mentored my juniors in my undergrad.,To help fellow ncsu students to get their dream jobs.,"I am interested in RTL Design, ASIC Verification, and Computer Architecture. My previous employer was Qualcomm.",I like to play soccer in my free time and I like to do trekking. 
,"I have struggled a lot during my internship search. As a new bee without no prior industry experience. I did lot of minute mistakes due to which, I wasn't selected to few ambitios companies. But, I want to help my juniors not to undergo those minute mistakes. and want to help one of the pack family member to reach their goals. ",I did my internship + co-op as an DV intern at marvell for 6 months period. Right now I am an SDV Engineer at Marvell semiconductor. My interestes are mainly CPU's and unravelling SOC's. I have great experience in scripting in python by which I contributed the most to my company. ,"I am a pampered single child in my family. I am from India, landed in wolfpack right after my undergrad on 2021. My interests are traveling as much as possible and hobbies photography. "
,"I'd have loved to have a mentor or someone to talk to about Industry insights during my master's days, but I didn't. Wanted to give someone else that help.",Verification Engineer.,"Love Cycling (Road and Mountain) , Hiking"
Mentoring new interns and RCG in Apple,"To help others in all possible ways, to help get settled with a great job.","Physical Design, VLSI","Sports, Family oriented. "
,To give back to the college which helped me by mentoring students get into the industry,I’m currently working in the field of RTL Design for graphics cores at AMD. I’ve worked in Physical Design at Qualcomm before this. My internship was in Design Verification at Cisco. I’ve a varied experience in the VLSI industry and looking forward to share my knowledge with current students. ,"Reading books, running and badminton "
,I want to help new students,"Strong engineering professional working at Apple as Validation Engineer. Earned a Master's degree in Computer Engineering from NC State University. Past experience as an Application Engineer in Semiconductor industry for 2+years. Operated R&D at UTS to elevate the standards of the company as well as worked on various challenging projects. 
Skilled in C, C++, Python, and Verilog. 
Interested in working on the latest technologies and expand my knowledge boundaries.","Love soccer, listening music, exercising, planting, angling. New interest in stock market."
,I want to see my juniors succeed in life!,My field of interest would be designing chips for computers and mobile phones,N/A
,I would like to help students interested to join the VLSI industry. ,"I’ve done a couple of internships in RTL Design, Embedded Systems before joining Intel Corp as a full time Verification Engineer. I’ve been working there from past 2yrs"," I enjoy reading books, music. "
,"1. I would love to share knowledge and experience with current students, helping them to succeed in their careers.

2. By staying involved in the ECE community, I can stay up-to-date with the latest developments in the field and continue to be a part of it.

3. Apart from that I can develop leadership and coaching skills, and gain satisfaction from helping others succeed.",I started my experience working as an Intern at AMD and Microsoft in summer of 2022. It was a wholesome experience for me to work on exciting projects.  ,"A little bit about myself. I was born and raised in Mumbai, India and received my master’s degree in Computer Engineering from North Carolina State University. I have always been passionate about working in silicon development. Outside work I enjoy hiking, playing pool, playing badminton and table tennis. I’m a big fan of reading books (would welcome book recommendations) and try to stay active and engaged in the community. "
,To explain students different options of jobs available and skills needed for it,"Vlsi, physical design, sta, power optimization ","Running, swimming, badminton, hiking, playing with my dog"
I have mentored 7 new googlers on my team. ,I love connecting with others and share my experiences. Advising what I know and learning from others as well. ,"Over the 6 years of rich industry experience I have worked in companies like Google, Meta, Palo Alto Networks. Major interests lies in Data Center  and cloud networking. I love solving problems and make impact even if its a small one. At present I am leading Kubernetes and Load Balancing domain in my team. ", I a beginners Contemporary dancer :) still learning! I like to travel new cities and sports like swimming. Recent enthusiast of hiking as well. 
